cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,38,0.5,0
0.0,0,0,38,1.0,0
0.0,0,0,38,1.5,0
0.0,0,0,38,2.0,0
0.0,0,0,38,2.5,0
0.0,0,0,38,3.25,0
0.0,0,0,38,3.75,0
0.0,0,0,38,4.25,0
0.0,0,0,38,4.75,0
2.0,0,0,38,5.26,0
2.0,9,0,38,5.76,9
0.0,11,0,38,6.26,11
2.0,18,0,38,6.76,25
0.0,18,0,38,7.27,28
0.0,18,0,38,7.77,29
0.0,18,0,38,8.27,29
2.0,18,0,38,8.77,29
0.0,18,0,38,9.27,29
0.0,18,0,38,9.77,29
0.0,18,0,38,10.27,29
32.0,323,0,39,10.77,414
25.7,501,0,40,11.28,675
28.0,671,0,40,11.78,1021
21.9,763,0,40,12.28,1285
22.0,816,0,41,12.78,1495
20.0,872,0,41,13.28,1712
19.9,908,0,41,13.78,1918
31.4,969,0,41,14.29,2337
42.0,1000,36,42,14.79,3108
32.0,1000,66,42,15.29,3487
15.9,1000,83,42,15.79,3663
12.0,1000,94,42,16.3,3782
14.0,1000,107,42,16.8,3930
15.9,1000,120,42,17.3,4107
19.9,1000,142,42,17.8,4345
12.0,1000,152,42,18.3,4456
17.9,1000,163,42,18.81,4631
12.0,1000,175,42,19.31,4787
17.9,1000,195,42,19.81,4982
10.0,1000,202,42,20.31,5084
18.0,1000,216,42,20.81,5271
15.9,1000,228,42,21.31,5438
18.0,1000,246,42,21.81,5648
15.9,1000,262,42,22.32,5821
16.0,1000,274,42,22.82,5980
18.0,1000,288,42,23.32,6165
14.0,1000,303,42,23.82,6338
16.0,1000,312,42,24.32,6498
16.0,1000,333,42,24.82,6674
22.0,1000,353,42,25.32,6909
18.0,1000,374,42,25.82,7174
25.7,1000,391,42,26.33,7471
20.0,1000,412,42,26.83,7733
28.9,1000,438,42,27.35,8059
18.0,1000,456,42,27.85,8271
16.0,1000,476,42,28.35,8455
24.0,1000,496,42,28.85,8718
15.9,1000,510,42,29.35,8900
14.0,1000,517,42,29.85,9060
25.8,1000,544,42,30.35,9396
20.0,1000,569,42,30.86,9651
29.9,1000,600,42,31.36,10069
25.9,1000,635,42,31.86,10386
20.0,1000,651,42,32.36,10608
16.0,1000,670,42,32.86,10768
15.8,1000,687,42,33.37,10927
16.0,1000,698,42,33.87,11094
17.7,1000,715,42,34.37,11296
22.0,1000,741,42,34.88,11547
23.8,1000,768,42,35.38,11830
22.0,1000,796,42,35.88,12090
13.9,1000,805,42,36.38,12239
9.9,1000,816,42,36.88,12327
11.8,1000,821,42,37.39,12443
10.0,1000,826,42,37.9,12551
14.0,1000,833,42,38.4,12687
19.9,1000,850,42,38.9,12876
15.9,1000,870,42,39.4,13054
15.9,1000,881,42,39.9,13239
13.9,1000,891,42,40.41,13378
14.0,1000,899,42,40.91,13509
17.9,1000,910,42,41.41,13709
19.9,1000,933,42,41.91,13952
20.0,1000,955,42,42.41,14209
22.0,1000,979,42,42.91,14468
19.9,1000,1000,42,43.42,14742
22.0,1000,1014,42,43.92,14995
22.0,1000,1037,42,44.42,15269
21.9,1000,1057,42,44.92,15515
16.0,1000,1074,42,45.42,15704
17.9,1000,1087,42,45.92,15888
16.0,1000,1107,42,46.42,16088
20.0,1000,1124,42,46.92,16291
20.0,1000,1148,42,47.42,16532
20.0,1000,1171,42,47.92,16740
19.9,1000,1195,42,48.43,17028
27.8,1000,1227,42,48.93,17351
24.0,1000,1256,42,49.43,17673
29.9,1000,1282,42,49.93,18013
23.9,1000,1312,42,50.43,18333
21.9,1000,1332,42,50.93,18594
20.0,1000,1349,42,51.43,18853
21.9,1000,1371,42,51.94,19096
19.9,1000,1389,42,52.44,19316
22.0,1000,1411,42,52.94,19539
19.9,1000,1433,42,53.44,19798
20.0,1000,1446,42,53.94,19971
12.0,1000,1456,42,54.44,20117
13.9,1000,1461,42,54.95,20236
11.9,1000,1473,42,55.45,20387
26.0,1000,1496,42,55.95,20643
22.0,1000,1519,42,56.45,20924
18.0,1000,1537,42,56.95,21111
9.9,1000,1547,42,57.46,21238
22.0,1000,1572,42,57.96,21477
30.0,1000,1598,42,58.46,21848
23.8,1000,1621,42,58.96,22134
16.0,1000,1645,42,59.46,22335
20.0,1000,1659,42,59.97,22560
11.9,1000,1674,42,60.47,22675
