cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
1.1,0,0,38,0.9,0
0.0,0,0,38,1.42,0
0.0,0,0,38,1.92,0
0.0,0,0,38,2.48,0
0.0,0,0,38,3.39,0
0.0,0,0,38,3.9,0
0.0,0,0,38,4.78,0
0.0,2,0,38,5.28,2
2.0,7,0,38,5.78,7
2.0,13,0,38,6.28,14
0.0,16,0,38,6.78,22
0.0,18,0,38,7.28,27
2.0,18,0,38,7.78,30
0.0,18,0,38,8.28,30
0.0,18,0,38,8.79,30
0.0,18,0,38,9.29,30
0.0,18,0,38,9.79,30
7.6,64,0,39,10.31,106
32.0,373,0,39,10.82,513
24.0,537,0,40,11.32,769
24.0,694,0,40,11.82,1119
17.9,750,29,40,12.32,1377
16.0,750,86,40,12.82,1587
14.0,750,173,40,13.32,1798
16.0,750,251,40,13.82,2021
33.9,750,468,40,14.32,2654
36.0,750,664,40,14.83,3288
16.0,750,745,40,15.33,3553
12.0,750,789,40,15.83,3682
8.0,750,826,40,16.33,3797
12.0,750,882,40,16.83,3956
16.0,750,952,40,17.33,4203
10.0,750,1002,40,17.83,4365
9.9,750,1051,40,18.33,4502
9.9,750,1110,40,18.84,4665
12.0,750,1177,40,19.34,4859
8.0,750,1217,40,19.84,4979
11.9,750,1266,40,20.35,5124
14.0,750,1312,40,20.85,5297
10.0,750,1371,40,21.35,5483
18.0,750,1441,40,21.85,5701
10.0,750,1482,40,22.35,5843
12.0,750,1541,40,22.85,6007
10.0,750,1579,40,23.35,6165
12.0,750,1650,40,23.85,6360
11.9,750,1723,40,24.35,6539
12.0,750,1785,40,24.85,6717
16.0,750,1865,40,25.35,6965
19.8,750,1972,40,25.86,7304
16.0,750,2043,40,26.36,7541
22.0,750,2140,40,26.86,7854
13.8,750,2205,40,27.37,8062
12.0,750,2274,40,27.87,8252
16.0,750,2337,40,28.37,8497
14.0,750,2399,40,28.87,8696
8.0,750,2434,40,29.37,8830
24.0,750,2536,40,29.87,9160
13.9,750,2619,40,30.37,9397
20.0,750,2737,40,30.87,9749
17.9,750,2838,40,31.38,10022
11.9,750,2895,40,31.88,10187
8.0,750,2942,40,32.38,10319
12.0,750,2990,40,32.89,10451
8.0,750,3031,40,33.39,10584
10.0,750,3094,40,33.89,10748
16.0,750,3164,40,34.39,10969
16.0,750,3250,40,34.89,11216
18.0,750,3309,40,35.39,11446
6.0,750,3345,40,35.89,11566
8.0,750,3379,40,36.39,11659
12.0,750,3425,40,36.89,11784
6.0,750,3464,40,37.39,11898
12.0,750,3506,40,37.89,12042
12.0,750,3554,40,38.39,12202
10.0,750,3609,40,38.9,12374
12.0,750,3665,40,39.4,12536
8.0,750,3714,40,39.9,12667
11.9,750,3752,40,40.4,12804
14.0,750,3812,40,40.9,13008
17.9,750,3896,40,41.4,13284
12.0,750,3978,40,41.91,13507
20.0,750,4087,40,42.41,13813
12.0,750,4141,40,42.91,14022
19.9,750,4233,40,43.41,14337
14.0,750,4299,40,43.91,14543
14.0,750,4362,40,44.41,14757
11.9,750,4409,40,44.92,14917
14.0,750,4467,40,45.42,15126
13.9,750,4523,40,45.92,15307
16.0,750,4604,40,46.42,15546
16.0,750,4673,40,46.92,15776
13.9,750,4740,40,47.42,15982
22.0,750,4852,40,47.92,16335
18.0,750,4938,40,48.43,16611
18.0,750,5038,40,48.93,16910
22.0,750,5146,40,49.43,17261
19.9,750,5250,40,49.93,17575
16.0,750,5316,40,50.43,17788
16.0,750,5401,40,50.93,18014
15.9,750,5500,40,51.43,18268
17.9,750,5630,40,51.94,18557
17.9,750,5749,40,52.44,18851
10.0,750,5806,40,52.94,18990
13.8,750,5911,40,53.45,19218
9.9,750,5971,40,53.95,19350
12.0,750,6036,40,54.45,19509
18.0,750,6201,40,54.95,19829
22.0,750,6398,40,55.45,20203
15.9,750,6527,40,55.96,20468
12.0,750,6618,40,56.46,20645
12.0,750,6744,40,56.96,20865
32.0,750,7051,40,57.46,21480
21.9,750,7255,40,57.96,21853
18.0,750,7395,40,58.46,22128
18.0,750,7560,40,58.96,22447
16.0,750,7666,40,59.46,22686
18.0,750,7789,40,59.96,22926
12.0,750,7874,40,60.46,23097
