cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,38,0.52,0
0.0,0,0,38,1.02,0
0.0,0,0,38,1.52,0
0.0,0,0,38,2.03,0
0.0,0,0,38,2.53,0
0.0,0,0,38,3.03,0
0.0,0,0,38,3.53,0
0.0,0,0,38,4.03,0
0.0,0,0,38,4.53,0
0.0,0,0,38,5.03,0
2.0,0,0,38,5.54,0
0.0,6,0,38,6.04,6
2.0,10,0,38,6.54,13
0.0,15,0,38,7.04,21
0.0,15,0,38,7.54,23
2.0,15,0,38,8.04,24
0.0,15,0,38,8.54,24
0.0,15,0,38,9.04,24
0.0,15,0,38,9.55,24
0.0,15,0,38,10.06,25
25.9,264,0,39,10.56,407
22.0,475,0,39,11.06,701
22.0,655,0,40,11.56,1051
14.0,743,0,40,12.06,1291
16.0,750,63,40,12.56,1544
16.0,750,136,40,13.06,1758
14.0,750,223,40,13.56,1980
27.3,750,387,40,14.08,2458
37.9,750,612,40,14.58,3196
21.9,750,720,40,15.08,3533
10.0,750,774,40,15.58,3689
10.0,750,810,40,16.08,3804
12.0,750,858,40,16.58,3958
13.9,750,919,40,17.09,4164
14.0,750,982,40,17.59,4377
10.0,750,1019,40,18.09,4496
7.9,750,1074,40,18.59,4641
14.0,750,1132,40,19.09,4819
12.0,750,1195,40,19.59,4988
9.9,750,1236,40,20.1,5104
12.0,750,1283,40,20.6,5271
12.0,750,1336,40,21.1,5458
13.9,750,1408,40,21.6,5690
7.9,750,1450,40,22.11,5824
13.9,750,1505,40,22.61,5986
10.0,750,1553,40,23.11,6146
15.9,750,1616,40,23.61,6345
8.0,750,1670,40,24.11,6501
12.0,750,1746,40,24.62,6683
16.0,750,1818,40,25.12,6924
20.0,750,1931,40,25.62,7251
15.9,750,2004,40,26.12,7507
18.0,750,2090,40,26.62,7782
16.0,750,2172,40,27.12,8039
12.0,750,2234,40,27.62,8230
13.9,750,2292,40,28.13,8443
16.0,750,2368,40,28.63,8694
7.9,750,2401,40,29.13,8816
18.0,750,2489,40,29.64,9096
18.0,750,2582,40,30.14,9379
29.8,750,2671,41,30.64,9832
15.9,750,2777,41,31.14,10135
11.9,750,2837,41,31.64,10312
6.0,750,2873,41,32.15,10410
8.0,750,2923,41,32.65,10539
6.0,750,2948,41,33.15,10616
10.0,750,2992,41,33.65,10764
12.0,750,3042,41,34.15,10922
11.9,750,3100,41,34.65,11104
12.0,750,3144,41,35.15,11287
7.9,750,3176,41,35.66,11387
5.9,750,3197,41,36.17,11465
6.0,750,3231,41,36.67,11552
5.9,750,3261,41,37.17,11643
10.0,750,3292,41,37.68,11757
8.0,750,3323,41,38.18,11864
8.0,750,3354,41,38.68,11988
10.0,750,3399,41,39.18,12130
5.9,750,3428,41,39.69,12220
7.9,750,3461,41,40.19,12330
12.0,750,3495,41,40.69,12482
13.9,750,3548,41,41.19,12679
11.9,750,3607,41,41.7,12853
13.9,750,3674,41,42.2,13073
12.0,750,3723,41,42.7,13256
12.0,750,3770,41,43.2,13451
11.7,750,3810,41,43.71,13618
11.9,750,3855,41,44.22,13785
8.0,750,3879,41,44.72,13910
8.0,750,3916,41,45.22,14057
10.0,750,3958,41,45.72,14206
14.0,750,4007,41,46.22,14390
10.0,750,4051,41,46.72,14557
11.9,750,4106,41,47.23,14749
15.9,750,4173,41,47.73,14977
16.0,750,4226,41,48.23,15209
16.0,750,4305,41,48.73,15454
16.0,750,4384,41,49.23,15742
14.0,750,4441,41,49.73,15951
12.0,750,4490,41,50.23,16106
10.0,750,4526,41,50.73,16247
17.9,750,4722,41,51.23,16592
24.0,750,4995,41,51.73,17017
16.0,750,5214,41,52.23,17340
14.0,750,5380,41,52.73,17580
18.0,750,5620,41,53.23,17907
11.9,750,5771,41,53.74,18117
14.0,750,5945,41,54.24,18367
25.9,750,6277,41,54.74,18842
20.0,750,6559,41,55.24,19241
17.8,750,6780,41,55.75,19555
13.9,750,6973,41,56.25,19820
24.0,750,7255,41,56.75,20254
36.0,750,7822,41,57.25,21022
22.0,750,8116,41,57.75,21453
18.0,750,8334,41,58.25,21774
22.0,750,8627,41,58.75,22200
16.0,750,8807,41,59.25,22474
22.0,750,9090,41,59.75,22887
26.0,750,9416,41,60.25,23352
